,id,type,sectionId,sectionName,webPublicationDate,webTitle,webUrl,apiUrl,isHosted,pillarId,pillarName
3799,football/2025/jan/01/from-the-euros-to-canadas-new-league-womens-football-in-2025,article,football,Football,2025-01-01T12:55:21Z,Moving the Goalposts | From the Euros to Canada’s new league: women’s football in 2025,https://www.theguardian.com/football/2025/jan/01/from-the-euros-to-canadas-new-league-womens-football-in-2025,https://content.guardianapis.com/football/2025/jan/01/from-the-euros-to-canadas-new-league-womens-football-in-2025,False,pillar/sport,Sport
3800,world/2025/mar/16/senator-sexual-harassment-claims-nigeria-natasha-akpoti-uduaghan,article,world,World news,2025-03-16T09:34:27Z,‘We are all Natasha’: senator’s sexual harassment claims roil Nigeria,https://www.theguardian.com/world/2025/mar/16/senator-sexual-harassment-claims-nigeria-natasha-akpoti-uduaghan,https://content.guardianapis.com/world/2025/mar/16/senator-sexual-harassment-claims-nigeria-natasha-akpoti-uduaghan,False,pillar/news,News
3801,world/2025/feb/25/activists-call-state-emergency-gender-based-violence-nigeria,article,world,World news,2025-02-25T11:28:44Z,Activists call for state of emergency in Nigeria over gender-based violence,https://www.theguardian.com/world/2025/feb/25/activists-call-state-emergency-gender-based-violence-nigeria,https://content.guardianapis.com/world/2025/feb/25/activists-call-state-emergency-gender-based-violence-nigeria,False,pillar/news,News
3802,world/2025/feb/16/nnamdi-kanu-brother-kingsley-british-citizen-held-nigeria,article,world,World news,2025-02-16T12:00:11Z,Brother of British national held in Nigeria says UK has ‘turned its back’,https://www.theguardian.com/world/2025/feb/16/nnamdi-kanu-brother-kingsley-british-citizen-held-nigeria,https://content.guardianapis.com/world/2025/feb/16/nnamdi-kanu-brother-kingsley-british-citizen-held-nigeria,False,pillar/news,News
3803,world/2025/jan/25/united-airlines-nigeria-washington-dc,article,business,Business,2025-01-25T23:13:00Z,At least six people seriously injured on flight from Nigeria to Washington DC,https://www.theguardian.com/world/2025/jan/25/united-airlines-nigeria-washington-dc,https://content.guardianapis.com/world/2025/jan/25/united-airlines-nigeria-washington-dc,False,pillar/news,News
3804,global-development/2025/jan/13/abortion-rights-nigeria-sexual-violence-women,article,global-development,Global development,2025-01-13T10:00:07Z,"‘I was crying, there was no anaesthesia’: the fight for legal and safe abortion in Nigeria",https://www.theguardian.com/global-development/2025/jan/13/abortion-rights-nigeria-sexual-violence-women,https://content.guardianapis.com/global-development/2025/jan/13/abortion-rights-nigeria-sexual-violence-women,False,pillar/news,News
3805,global-development/2025/feb/05/flies-in-hospital-wards-may-be-spreading-drug-resistant-bacteria-to-patients,article,global-development,Global development,2025-02-05T10:00:34Z,Flies in hospital wards may be spreading drug-resistant bacteria to patients,https://www.theguardian.com/global-development/2025/feb/05/flies-in-hospital-wards-may-be-spreading-drug-resistant-bacteria-to-patients,https://content.guardianapis.com/global-development/2025/feb/05/flies-in-hospital-wards-may-be-spreading-drug-resistant-bacteria-to-patients,False,pillar/news,News
3806,world/2025/feb/04/refuge-island-left-behind-by-lagos-economic-boom-nigeria,article,world,World news,2025-02-04T12:57:31Z,‘There is nothing here’: the island left behind by Lagos’s economic boom,https://www.theguardian.com/world/2025/feb/04/refuge-island-left-behind-by-lagos-economic-boom-nigeria,https://content.guardianapis.com/world/2025/feb/04/refuge-island-left-behind-by-lagos-economic-boom-nigeria,False,pillar/news,News
3807,world/2025/feb/21/our-neighbours-are-daring-to-choose-fascism-again-germanys-election-leaves-many-fearing-what-lies-ahead,article,world,World news,2025-02-21T05:00:30Z,‘Our neighbours are daring to choose fascism again’: Germany’s election leaves many fearing what lies ahead,https://www.theguardian.com/world/2025/feb/21/our-neighbours-are-daring-to-choose-fascism-again-germanys-election-leaves-many-fearing-what-lies-ahead,https://content.guardianapis.com/world/2025/feb/21/our-neighbours-are-daring-to-choose-fascism-again-germanys-election-leaves-many-fearing-what-lies-ahead,False,pillar/news,News
3808,global-development/2025/jan/29/new-nigerian-writers-othuke-ominiabohs-novels-masobe-books,article,global-development,Global development,2025-01-29T07:00:39Z,‘I was told books don’t sell here. I knew that wasn’t true’: the English teacher shaking up Nigeria’s publishing scene,https://www.theguardian.com/global-development/2025/jan/29/new-nigerian-writers-othuke-ominiabohs-novels-masobe-books,https://content.guardianapis.com/global-development/2025/jan/29/new-nigerian-writers-othuke-ominiabohs-novels-masobe-books,False,pillar/news,News
3809,football/2025/jan/01/from-the-euros-to-canadas-new-league-womens-football-in-2025,article,football,Football,2025-01-01T12:55:21Z,Moving the Goalposts | From the Euros to Canada’s new league: women’s football in 2025,https://www.theguardian.com/football/2025/jan/01/from-the-euros-to-canadas-new-league-womens-football-in-2025,https://content.guardianapis.com/football/2025/jan/01/from-the-euros-to-canadas-new-league-womens-football-in-2025,False,pillar/sport,Sport
3810,world/2025/mar/16/senator-sexual-harassment-claims-nigeria-natasha-akpoti-uduaghan,article,world,World news,2025-03-16T09:34:27Z,‘We are all Natasha’: senator’s sexual harassment claims roil Nigeria,https://www.theguardian.com/world/2025/mar/16/senator-sexual-harassment-claims-nigeria-natasha-akpoti-uduaghan,https://content.guardianapis.com/world/2025/mar/16/senator-sexual-harassment-claims-nigeria-natasha-akpoti-uduaghan,False,pillar/news,News
3811,world/2025/feb/25/activists-call-state-emergency-gender-based-violence-nigeria,article,world,World news,2025-02-25T11:28:44Z,Activists call for state of emergency in Nigeria over gender-based violence,https://www.theguardian.com/world/2025/feb/25/activists-call-state-emergency-gender-based-violence-nigeria,https://content.guardianapis.com/world/2025/feb/25/activists-call-state-emergency-gender-based-violence-nigeria,False,pillar/news,News
3812,world/2025/feb/16/nnamdi-kanu-brother-kingsley-british-citizen-held-nigeria,article,world,World news,2025-02-16T12:00:11Z,Brother of British national held in Nigeria says UK has ‘turned its back’,https://www.theguardian.com/world/2025/feb/16/nnamdi-kanu-brother-kingsley-british-citizen-held-nigeria,https://content.guardianapis.com/world/2025/feb/16/nnamdi-kanu-brother-kingsley-british-citizen-held-nigeria,False,pillar/news,News
3813,world/2025/jan/25/united-airlines-nigeria-washington-dc,article,business,Business,2025-01-25T23:13:00Z,At least six people seriously injured on flight from Nigeria to Washington DC,https://www.theguardian.com/world/2025/jan/25/united-airlines-nigeria-washington-dc,https://content.guardianapis.com/world/2025/jan/25/united-airlines-nigeria-washington-dc,False,pillar/news,News
3814,global-development/2025/jan/13/abortion-rights-nigeria-sexual-violence-women,article,global-development,Global development,2025-01-13T10:00:07Z,"‘I was crying, there was no anaesthesia’: the fight for legal and safe abortion in Nigeria",https://www.theguardian.com/global-development/2025/jan/13/abortion-rights-nigeria-sexual-violence-women,https://content.guardianapis.com/global-development/2025/jan/13/abortion-rights-nigeria-sexual-violence-women,False,pillar/news,News
3815,global-development/2025/feb/05/flies-in-hospital-wards-may-be-spreading-drug-resistant-bacteria-to-patients,article,global-development,Global development,2025-02-05T10:00:34Z,Flies in hospital wards may be spreading drug-resistant bacteria to patients,https://www.theguardian.com/global-development/2025/feb/05/flies-in-hospital-wards-may-be-spreading-drug-resistant-bacteria-to-patients,https://content.guardianapis.com/global-development/2025/feb/05/flies-in-hospital-wards-may-be-spreading-drug-resistant-bacteria-to-patients,False,pillar/news,News
3816,world/2025/feb/04/refuge-island-left-behind-by-lagos-economic-boom-nigeria,article,world,World news,2025-02-04T12:57:31Z,‘There is nothing here’: the island left behind by Lagos’s economic boom,https://www.theguardian.com/world/2025/feb/04/refuge-island-left-behind-by-lagos-economic-boom-nigeria,https://content.guardianapis.com/world/2025/feb/04/refuge-island-left-behind-by-lagos-economic-boom-nigeria,False,pillar/news,News
3817,world/2025/feb/21/our-neighbours-are-daring-to-choose-fascism-again-germanys-election-leaves-many-fearing-what-lies-ahead,article,world,World news,2025-02-21T05:00:30Z,‘Our neighbours are daring to choose fascism again’: Germany’s election leaves many fearing what lies ahead,https://www.theguardian.com/world/2025/feb/21/our-neighbours-are-daring-to-choose-fascism-again-germanys-election-leaves-many-fearing-what-lies-ahead,https://content.guardianapis.com/world/2025/feb/21/our-neighbours-are-daring-to-choose-fascism-again-germanys-election-leaves-many-fearing-what-lies-ahead,False,pillar/news,News
3818,global-development/2025/jan/29/new-nigerian-writers-othuke-ominiabohs-novels-masobe-books,article,global-development,Global development,2025-01-29T07:00:39Z,‘I was told books don’t sell here. I knew that wasn’t true’: the English teacher shaking up Nigeria’s publishing scene,https://www.theguardian.com/global-development/2025/jan/29/new-nigerian-writers-othuke-ominiabohs-novels-masobe-books,https://content.guardianapis.com/global-development/2025/jan/29/new-nigerian-writers-othuke-ominiabohs-novels-masobe-books,False,pillar/news,News
3819,football/2025/jan/01/from-the-euros-to-canadas-new-league-womens-football-in-2025,article,football,Football,2025-01-01T12:55:21Z,Moving the Goalposts | From the Euros to Canada’s new league: women’s football in 2025,https://www.theguardian.com/football/2025/jan/01/from-the-euros-to-canadas-new-league-womens-football-in-2025,https://content.guardianapis.com/football/2025/jan/01/from-the-euros-to-canadas-new-league-womens-football-in-2025,False,pillar/sport,Sport
3820,world/2025/mar/16/senator-sexual-harassment-claims-nigeria-natasha-akpoti-uduaghan,article,world,World news,2025-03-16T09:34:27Z,‘We are all Natasha’: senator’s sexual harassment claims roil Nigeria,https://www.theguardian.com/world/2025/mar/16/senator-sexual-harassment-claims-nigeria-natasha-akpoti-uduaghan,https://content.guardianapis.com/world/2025/mar/16/senator-sexual-harassment-claims-nigeria-natasha-akpoti-uduaghan,False,pillar/news,News
3821,world/2025/feb/25/activists-call-state-emergency-gender-based-violence-nigeria,article,world,World news,2025-02-25T11:28:44Z,Activists call for state of emergency in Nigeria over gender-based violence,https://www.theguardian.com/world/2025/feb/25/activists-call-state-emergency-gender-based-violence-nigeria,https://content.guardianapis.com/world/2025/feb/25/activists-call-state-emergency-gender-based-violence-nigeria,False,pillar/news,News
3822,world/2025/feb/16/nnamdi-kanu-brother-kingsley-british-citizen-held-nigeria,article,world,World news,2025-02-16T12:00:11Z,Brother of British national held in Nigeria says UK has ‘turned its back’,https://www.theguardian.com/world/2025/feb/16/nnamdi-kanu-brother-kingsley-british-citizen-held-nigeria,https://content.guardianapis.com/world/2025/feb/16/nnamdi-kanu-brother-kingsley-british-citizen-held-nigeria,False,pillar/news,News
3823,world/2025/jan/25/united-airlines-nigeria-washington-dc,article,business,Business,2025-01-25T23:13:00Z,At least six people seriously injured on flight from Nigeria to Washington DC,https://www.theguardian.com/world/2025/jan/25/united-airlines-nigeria-washington-dc,https://content.guardianapis.com/world/2025/jan/25/united-airlines-nigeria-washington-dc,False,pillar/news,News
3824,global-development/2025/jan/13/abortion-rights-nigeria-sexual-violence-women,article,global-development,Global development,2025-01-13T10:00:07Z,"‘I was crying, there was no anaesthesia’: the fight for legal and safe abortion in Nigeria",https://www.theguardian.com/global-development/2025/jan/13/abortion-rights-nigeria-sexual-violence-women,https://content.guardianapis.com/global-development/2025/jan/13/abortion-rights-nigeria-sexual-violence-women,False,pillar/news,News
3825,global-development/2025/feb/05/flies-in-hospital-wards-may-be-spreading-drug-resistant-bacteria-to-patients,article,global-development,Global development,2025-02-05T10:00:34Z,Flies in hospital wards may be spreading drug-resistant bacteria to patients,https://www.theguardian.com/global-development/2025/feb/05/flies-in-hospital-wards-may-be-spreading-drug-resistant-bacteria-to-patients,https://content.guardianapis.com/global-development/2025/feb/05/flies-in-hospital-wards-may-be-spreading-drug-resistant-bacteria-to-patients,False,pillar/news,News
3826,world/2025/feb/04/refuge-island-left-behind-by-lagos-economic-boom-nigeria,article,world,World news,2025-02-04T12:57:31Z,‘There is nothing here’: the island left behind by Lagos’s economic boom,https://www.theguardian.com/world/2025/feb/04/refuge-island-left-behind-by-lagos-economic-boom-nigeria,https://content.guardianapis.com/world/2025/feb/04/refuge-island-left-behind-by-lagos-economic-boom-nigeria,False,pillar/news,News
